数据库：分省年度数据
指标：城镇登记失业率(%)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,1.3,1.4,1.4,1.4,1.4,1.3,1.2
天津市,3.5,3.5,3.5,3.5,3.5,3.5,3.6
河北省,3.1,3.3,3.7,3.7,3.6,3.6,3.7
山西省,2.7,3.3,3.4,3.5,3.5,3.4,3.1
内蒙古自治区,3.7,3.6,3.6,3.7,3.7,3.6,3.7
辽宁省,4.2,3.9,3.8,3.8,3.4,3.4,3.4
吉林省,3.1,3.5,3.5,3.5,3.5,3.4,3.7
黑龙江省,3.5,4.0,4.2,4.2,4.5,4.5,4.4
上海市,3.6,3.5,3.9,4.1,4.0,4.1,4.0
江苏省,3.0,3.0,3.0,3.0,3.0,3.0,3.0
浙江省,2.5,2.6,2.7,2.9,2.9,3.0,3.0
安徽省,2.6,2.8,2.9,3.2,3.1,3.2,3.4
福建省,3.5,3.7,3.9,3.9,3.7,3.5,3.6
江西省,2.9,3.4,3.3,3.4,3.4,3.3,3.2
山东省,3.3,3.4,3.4,3.5,3.4,3.3,3.2
河南省,3.2,3.0,2.8,3.0,3.0,3.0,3.1
湖北省,2.4,2.6,2.6,2.4,2.6,3.1,3.5
湖南省,2.7,3.6,4.0,4.2,4.1,4.1,4.2
广东省,2.3,2.4,2.5,2.5,2.5,2.4,2.4
广西壮族自治区,2.6,2.3,2.2,2.9,2.9,3.2,3.3
海南省,2.3,2.3,2.3,2.4,2.3,2.3,2.2
重庆市,2.6,3.0,3.4,3.7,3.6,3.5,3.4
四川省,3.3,3.5,4.0,4.2,4.1,4.2,4.1
贵州省,3.1,3.2,3.2,3.2,3.3,3.3,3.3
云南省,3.3,3.4,3.2,3.6,4.0,4.0,4.0
西藏自治区,2.9,2.8,2.7,2.6,2.5,2.5,2.5
陕西省,3.2,3.2,3.3,3.3,3.4,3.3,3.3
甘肃省,3.0,2.8,2.7,2.2,2.1,2.2,2.3
青海省,2.2,3.0,3.1,3.1,3.2,3.2,3.3
宁夏回族自治区,3.7,3.9,3.9,3.9,4.0,4.0,4.1
新疆维吾尔自治区,2.1,2.4,2.6,2.5,2.9,3.2,3.4
数据来源：国家统计局
