数据库：分省年度数据
指标：收入法生产总值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,29883.0,27041.2,24779.1,22926.0,21134.6
天津市,,,12450.6,11477.2,10879.5,10640.6,9945.4
河北省,,,30640.8,28474.1,26398.4,25208.9,24259.6
山西省,,,14484.3,11946.4,11836.4,12094.7,11987.2
内蒙古自治区,,,14898.1,13789.3,12949.0,12158.2,11392.4
辽宁省,,,21693.0,20392.5,20210.3,20025.7,19208.8
吉林省,,,10922.0,10427.0,10018.0,9966.5,9427.9
黑龙江省,,,12313.0,11895.0,11690.0,12170.8,11849.1
上海市,,,32925.0,29887.0,26887.0,25269.8,23204.1
江苏省,,,85869.8,77350.9,71255.9,64830.5,59349.4
浙江省,,,52403.1,47254.0,43507.7,40023.5,37334.6
安徽省,,,29676.2,26307.7,23831.2,22519.7,20584.0
福建省,,,33842.4,29609.4,26819.5,24942.1,22503.8
江西省,,,20210.8,18388.6,16780.9,15667.8,14300.2
山东省,,,63012.1,58762.5,55288.8,50774.8,47344.3
河南省,,,44824.9,40249.3,37084.1,34574.8,31632.5
湖北省,,,37235.0,33353.0,30344.0,28242.1,25378.0
湖南省,,,33828.1,30853.5,28538.6,25881.3,23545.2
广东省,,,91648.7,82163.2,74732.4,68173.0,62503.4
广西壮族自治区,,,17790.7,16116.6,14797.8,13587.8,12448.4
海南省,,,4497.5,4090.2,3734.2,3449.0,3115.9
重庆市,,,20066.3,18023.0,16040.5,14623.8,13027.6
四川省,,,37905.1,33138.5,30342.0,28891.3,26518.0
贵州省,,,13605.4,11792.4,10541.0,9173.1,7973.1
云南省,,,18486.0,16369.0,14960.0,14041.7,12825.5
西藏自治区,,,1349.0,1173.0,1043.0,939.7,828.2
陕西省,,,21473.5,19045.8,17898.8,17402.5,15905.4
甘肃省,,,7336.7,6907.9,6556.6,6518.4,6014.5
青海省,,,2465.1,2258.2,2011.0,1847.7,1713.3
宁夏回族自治区,,,3200.3,2781.4,2579.4,2473.9,2327.7
新疆维吾尔自治区,,,11159.9,9630.8,9306.9,9264.5,8392.6
注：按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年以前年度的地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
